,Duration,Magnitude,%_users,Outflow_percentile_violation,Classification
164,4,7.0,49.0,2,History
165,3,6.0,54.0,0,Paleo
166,3,6.0,60.0,0,Encompassing
167,3,6.0,60.0,1,Paleo
168,4,6.0,61.0,0,Encompassing
169,4,7.0,63.0,1,Paleo
170,4,6.0,59.0,0,Encompassing
171,0,0.0,0.0,0,History
172,3,5.0,32.0,1,History
173,0,0.0,0.0,0,History
174,0,0.0,0.0,0,History
175,0,0.0,0.0,0,History
176,0,0.0,0.0,0,History
177,0,0.0,0.0,0,History
178,2,5.0,39.0,2,History
179,2,5.0,34.0,999,History
180,0,0.0,0.0,0,History
181,3,9.0,58.0,0,Encompassing
182,4,9.0,61.0,0,Encompassing
183,3,9.0,60.0,0,Encompassing
184,3,8.0,62.0,0,Encompassing
185,3,9.0,60.0,0,Encompassing
186,3,10.0,59.0,0,Encompassing
187,3,8.0,61.0,0,Encompassing
188,3,9.0,61.0,0,Encompassing
189,3,11.0,62.0,0,Encompassing
190,3,9.0,55.0,0,Encompassing
191,4,9.0,64.0,0,Encompassing
192,3,9.0,58.0,0,Encompassing
193,4,7.0,63.0,0,Encompassing
194,4,8.0,62.0,0,Encompassing
195,4,8.0,62.0,0,Encompassing
196,4,9.0,68.0,0,Encompassing
197,4,8.0,66.0,0,Encompassing
198,3,9.0,70.0,0,Encompassing
199,3,8.0,64.0,0,Encompassing
200,4,8.0,64.0,0,Encompassing
201,0,0.0,0.0,0,History
202,0,0.0,0.0,0,History
203,0,0.0,0.0,0,History
204,0,0.0,0.0,0,History
205,0,0.0,0.0,0,History
206,0,0.0,0.0,0,History
207,0,0.0,0.0,0,History
208,0,0.0,0.0,0,History
209,0,0.0,0.0,0,History
210,0,0.0,0.0,0,History
211,0,0.0,0.0,0,History
212,0,0.0,0.0,0,History
213,0,0.0,0.0,0,History
214,0,0.0,0.0,0,History
215,0,0.0,0.0,0,History
216,0,0.0,0.0,0,History
217,0,0.0,0.0,0,History
218,0,0.0,0.0,0,History
219,0,0.0,0.0,0,History
220,0,0.0,0.0,0,History
221,4,7.0,66.0,0,Paleo
222,5,8.0,70.0,0,Encompassing
223,4,8.0,67.0,0,Encompassing
224,4,7.0,74.0,0,Encompassing
225,4,7.0,60.0,0,Encompassing
226,4,9.0,77.0,0,Encompassing
227,4,8.0,63.0,0,Paleo
228,4,9.0,65.0,0,Encompassing
229,4,8.0,64.0,0,Encompassing
230,5,7.0,67.0,0,Paleo
231,4,9.0,65.0,0,Encompassing
232,4,10.0,68.0,0,Encompassing
233,4,9.0,60.0,0,Encompassing
234,4,9.0,68.0,0,Encompassing
235,4,9.0,63.0,0,Encompassing
236,4,8.0,59.0,0,Encompassing
237,3,9.0,59.0,0,Encompassing
238,3,9.0,61.0,0,Encompassing
239,4,9.0,67.0,0,Encompassing
240,4,9.0,66.0,0,Encompassing
241,0,0.0,0.0,0,History
242,0,0.0,0.0,0,History
243,0,0.0,0.0,0,History
244,0,0.0,0.0,0,History
245,0,0.0,0.0,0,History
246,0,0.0,0.0,0,History
247,0,0.0,0.0,0,History
248,0,0.0,0.0,0,History
249,0,0.0,0.0,0,History
250,0,0.0,0.0,0,History
251,5,11.0,71.0,0,Encompassing
252,5,14.0,73.0,0,Encompassing
253,4,12.0,73.0,0,Encompassing
254,5,12.0,71.0,0,Encompassing
255,4,13.0,73.0,0,Encompassing
256,4,12.0,71.0,0,Encompassing
257,5,13.0,76.0,0,Encompassing
258,5,14.0,74.0,0,Encompassing
259,4,12.0,79.0,0,Encompassing
260,5,15.0,71.0,0,Encompassing
261,3,8.0,57.0,0,Encompassing
262,3,9.0,54.0,0,Encompassing
263,3,9.0,56.0,0,Encompassing
264,3,8.0,55.0,0,Encompassing
265,3,8.0,58.0,0,Encompassing
266,3,7.0,54.0,0,Encompassing
267,3,8.0,56.0,0,Encompassing
268,3,9.0,56.0,0,Encompassing
269,3,8.0,58.0,0,Encompassing
