,Duration,Magnitude,%_users,Outflow_drought_min,Outflow_10th,%_users_36,Magnitude_36,%_users_37,Magnitude_37,%_users_38,Magnitude_38,%_users_39,Magnitude_39,%_users_45,Magnitude_45,%_users_50,Magnitude_50,%_users_51,Magnitude_51,%_users_52,Magnitude_52,%_users_53,Magnitude_53,%_users_70,Magnitude_70,%_users_72,Magnitude_72,Classification
76,0,5.0,48.0,30973.4088799536,36112.91333736519,21.0,1.0,12.0,1.0,37.0,3.0,44.0,6.0,52.0,7.0,62.0,4.0,49.0,1.0,20.0,0.0,61.0,8.0,80.0,8.0,79.0,12.0,Paleo
77,0,5.0,52.0,30843.8612204268,34519.486993039915,32.0,1.0,17.0,1.0,39.0,3.0,40.0,6.0,58.0,6.0,69.0,4.0,56.0,1.0,20.0,0.0,56.0,8.0,80.0,7.0,83.0,12.0,Paleo
78,0,5.0,53.0,33657.86245789318,37570.74993491451,25.0,1.0,25.0,1.0,41.0,3.0,44.0,6.0,58.0,7.0,66.0,4.0,56.0,1.0,20.0,0.0,67.0,8.0,80.0,8.0,83.0,13.0,Encompassing
79,0,6.0,52.0,28636.173027823206,36117.08645299093,25.0,1.0,21.0,1.0,37.0,3.0,48.0,7.0,58.0,7.0,62.0,5.0,56.0,2.0,20.0,0.0,61.0,9.0,80.0,9.0,87.0,14.0,Encompassing
80,0,5.0,54.0,30316.587222344402,35501.89209247176,29.0,1.0,38.0,1.0,39.0,3.0,52.0,6.0,58.0,6.0,69.0,5.0,53.0,2.0,20.0,0.0,56.0,8.0,80.0,7.0,83.0,13.0,Encompassing
81,0,12.0,62.0,13352.42938366382,20277.984403734023,50.0,5.0,50.0,4.0,46.0,8.0,60.0,10.0,61.0,12.0,76.0,13.0,63.0,9.0,20.0,2.0,67.0,15.0,80.0,19.0,91.0,24.0,Encompassing
82,0,12.0,63.0,12540.165583100377,20234.866813933193,54.0,5.0,54.0,4.0,46.0,8.0,60.0,10.0,61.0,12.0,76.0,13.0,67.0,10.0,20.0,2.0,67.0,15.0,80.0,19.0,89.0,25.0,Encompassing
83,0,11.0,64.0,20263.70685189908,22145.535549453187,64.0,5.0,54.0,4.0,47.0,7.0,60.0,10.0,61.0,11.0,76.0,12.0,65.0,8.0,20.0,1.0,67.0,14.0,80.0,17.0,91.0,23.0,Encompassing
84,0,9.0,63.0,16219.349457313769,25761.279234425252,61.0,3.0,54.0,3.0,46.0,6.0,60.0,8.0,61.0,10.0,72.0,10.0,60.0,6.0,20.0,1.0,67.0,12.0,80.0,14.0,91.0,19.0,Encompassing
85,0,12.0,64.0,16804.382474163,23110.824362035426,61.0,5.0,54.0,4.0,47.0,8.0,60.0,11.0,61.0,12.0,76.0,13.0,65.0,9.0,20.0,2.0,67.0,15.0,80.0,19.0,89.0,25.0,Encompassing
86,0,10.0,64.0,21751.606607966994,26183.97593184372,68.0,4.0,46.0,3.0,47.0,6.0,60.0,9.0,61.0,11.0,76.0,10.0,65.0,7.0,20.0,1.0,67.0,13.0,80.0,15.0,91.0,20.0,Encompassing
87,0,11.0,62.0,17636.982689162967,21089.91171046236,46.0,4.0,46.0,4.0,45.0,7.0,60.0,10.0,61.0,11.0,76.0,13.0,65.0,8.0,20.0,2.0,67.0,14.0,80.0,17.0,89.0,23.0,Encompassing
88,0,9.0,66.0,15145.100289839394,29128.492371960834,71.0,3.0,54.0,3.0,47.0,6.0,60.0,8.0,61.0,10.0,83.0,9.0,70.0,6.0,20.0,1.0,67.0,12.0,80.0,14.0,91.0,19.0,Encompassing
89,0,9.0,61.0,25238.691727093814,28453.25557116673,50.0,4.0,46.0,3.0,45.0,6.0,56.0,9.0,65.0,10.0,76.0,10.0,60.0,7.0,20.0,1.0,56.0,13.0,80.0,15.0,91.0,20.0,Encompassing
90,0,12.0,62.0,17771.80348338479,21221.073750968993,54.0,5.0,46.0,4.0,47.0,8.0,60.0,10.0,61.0,12.0,76.0,13.0,63.0,9.0,20.0,2.0,67.0,15.0,80.0,19.0,89.0,25.0,Encompassing
91,0,0.0,0.0,0.0,55233.62192688129,,,,,,,,,,,,,,,,,,,,,,,History
92,0,0.0,0.0,0.0,70714.14415607651,,,,,,,,,,,,,,,,,,,,,,,History
93,0,0.0,0.0,0.0,65253.443998301314,,,,,,,,,,,,,,,,,,,,,,,History
94,0,0.0,0.0,0.0,66007.01256741169,,,,,,,,,,,,,,,,,,,,,,,History
95,0,0.0,0.0,0.0,63419.569866078506,,,,,,,,,,,,,,,,,,,,,,,History
96,0,0.0,0.0,0.0,76897.75617300133,,,,,,,,,,,,,,,,,,,,,,,History
97,0,0.0,0.0,0.0,75439.11633210383,,,,,,,,,,,,,,,,,,,,,,,History
98,0,0.0,0.0,0.0,69781.03491008532,,,,,,,,,,,,,,,,,,,,,,,History
