,mu0,sigma0,mu1,sigma1,p00,p11,Ensemble
41,0.9684495211702,1.948435777531538,0.992918242567856,1.0769964372376835,-0.6790662261430227,0.2578567319884012,Reconstruction + Noise
42,0.9898300503284427,1.8706139899344996,0.9936277506868918,1.1359268673921143,-0.5395523000389149,0.129954979393624,Reconstruction + Noise
43,0.9865746185053462,1.837650423062192,0.9936401296672841,0.9851087910996132,-0.5178711436586071,0.1486986474664701,Reconstruction + Noise
44,0.9915582867140087,1.7019482787014368,0.9967210591551561,0.9455832163014213,-0.3630322214427508,0.0856547897135237,Reconstruction + Noise
45,0.9913986291623291,1.8317397515191771,0.9948936428202422,1.0393620742298102,-0.5779048929888199,0.07287739444262187,Reconstruction + Noise
46,0.9852714433594415,1.8219059155943331,0.9944736862913156,0.9931035523923932,-0.5060566813922938,0.15785575271632257,Reconstruction + Noise
47,0.9845989830873174,1.8223926626926008,0.9932082577002904,1.0906853018075133,-0.6419265738037092,0.19892652832746316,Reconstruction + Noise
48,0.9837746964215104,1.8120917253681057,0.9933811491662063,1.089923698402345,-0.5859078769940288,0.19068538752116126,Reconstruction + Noise
49,0.985048782911805,1.7942984099973922,0.9959144984798403,0.976094432149412,-0.44601098827878105,0.15327005464356758,Reconstruction + Noise
50,0.9755788917141718,2.0167877968755312,0.9933731336712103,1.1153536733405793,-0.6746167381895934,0.23813300581423058,Reconstruction + Noise
51,0.98696233410101,1.8230636574624628,0.9947068240655821,0.9588012071667941,-0.5625202029194786,0.09695266456010276,Reconstruction + Noise
52,0.9863426814604938,1.8687093269914776,0.9941019866648723,1.0275571632605174,-0.5340804803043291,0.13929276358489884,Reconstruction + Noise
53,0.992511855680309,1.660134561219217,0.9961109790824362,0.9938680663638818,-0.37736124580792285,0.07824763857378791,Reconstruction + Noise
54,0.9933254001613004,1.6932015941097474,0.997260701902068,0.9634758651678373,-0.3861485811073219,0.04895215749997994,Reconstruction + Noise
55,0.9924371023444009,1.8574935504622363,0.9955953237499214,0.9689080896965566,-0.45291225056040085,0.09062300030813764,Reconstruction + Noise
56,0.9921142382223043,1.7748142381623813,0.9943382922310389,1.076195133652488,-0.5222740002257338,0.11074527329177664,Reconstruction + Noise
